address,year,day,length,weight,count,looped,neighbors,income,label
111K8kZAEnJg245r2cM6y9zgJGHZtJPy6,2017,11,18,0.008333333333333,1,0,2,100050000,princetonCerber
1123pJv8jzeFQaCV4w644pzQJzVWay2zcA,2016,132,44,0.000244140625,1,0,1,1.00E+08,princetonLocky
112536im7hy6wtKbpH1qYDWtTyMRAcA2p7,2016,246,0,1,1,0,2,2.00E+08,princetonCerber
1126eDRw2wqSkWosjTCre8cjjQW8sSeWH7,2016,322,72,0.00390625,1,0,2,71200000,princetonCerber
1129TSjKtx65E35GiUo4AYVeyo48twbrGX,2016,238,144,0.072848407198993,456,0,1,2.00E+08,princetonLocky
112AmFATxzhuSpvtz1hfpa3Zrw3BG276pc,2016,96,144,0.084613999338676,2821,0,1,5.00E+07,princetonLocky
112E91jxS2qrQY1z78LPWUWrLVFGqbYPQ1,2016,225,142,0.002088518610127,881,0,2,1.00E+08,princetonCerber
112eFykaD53KEkKeYW9KW8eWebZYSbt2f5,2016,324,78,0.00390625,1,0,2,100990000,princetonCerber
112FTiRdJjMrNgEtd4fvdoq3TC33Ah5Dep,2016,298,144,2.3028283088657,4220,0,2,8.00E+07,princetonCerber
112GocBgFSnaote6krx828qaockFraD8mp,2016,62,112,3.73E-09,1,0,1,5.00E+07,princetonLocky
112gXL4AeJ62DX3htuLhBc3MtY5U6X5J28,2013,317,4,0.007142857142857,2,0,1,1.00E+08,montrealCryptoLocker
112nEBUadWiMxzUUASNZpQ9AvePtrJVuca,2016,247,0,1,1,0,2,108560000,princetonCerber
112Ns49UobQn1cX1G1axs1cmGvjFBxVxvf,2016,146,144,0.877484787195917,4817,0,1,104020000,montrealCryptXXX
112vq2Wt7Mo8RD5jCKMR2PFNxAoT17ffxD,2017,3,4,0.015625,1,0,2,5.60E+07,princetonCerber
112wED5uHhY1aiSaWAzgeMDaCKFcCvj9Pn,2016,158,56,3.05E-05,1,0,1,1.20E+08,montrealCryptXXX
112wED5uHhY1aiSaWAzgeMDaCKFcCvj9Pn,2016,156,8,0.75,2,0,4,2.40E+08,montrealCryptXXX
112wjYgWapZU8gTPR7hLoKq8iEh496vKxP,2016,273,144,0.00874675210904,1168,0,1,5.50E+08,princetonLocky
1131P1hjj7h9NinHRCkNwGFifK4gGoe5EF,2016,56,4,0.145833333333333,4,0,1,5.00E+08,princetonLocky
1132fapAqQVQJjZipWzJPKYxF4LNSDEvuc,2016,165,10,0.011904761904762,1,0,2,2.00E+08,princetonCerber
1136MFiqBmoVWpqWr1okF3D5XMabwVLB5z,2016,109,0,0.5,1,0,1,1.01E+08,princetonLocky
11382a48qWatCiSqVNBFzuKN91M7Dcdev,2016,79,2,0.25,1,0,1,5.00E+07,princetonLocky
113aZAjq9fkTY3qeBE4C3ojrXyQFKg5Nnd,2016,127,144,1.19247243902225,3352,0,2,2.00E+08,princetonCerber
113bivxFjurkAoWEfVeJ4jawK9fQtn3yRF,2017,21,0,0.5,1,0,2,99950000,princetonCerber
113DQh713pR9rsEWTgae9DGfVzY5f17Sbj,2016,250,0,0.5,1,0,1,2.00E+08,princetonLocky
113ESVqntvYprqQbsPN6tEmtE1bB44uokS,2016,155,6,0.5,6,0,2,1.20E+08,montrealCryptXXX
113i99LGHX2ZzBed1SaMpnqb6ruRgbBwMc,2014,65,144,0.243360433696763,1944,0,1,128898352,paduaCryptoWall
113i99LGHX2ZzBed1SaMpnqb6ruRgbBwMc,2014,81,14,0.010416666666667,1,0,2,34555818,paduaCryptoWall
113jYnToJJmGiLyQZMpyCZTYSb5GXFZ4tN,2017,46,8,0.006944444444444,1,1,2,8.00E+07,princetonCerber
113M2D2P1Riyke3CHaBBF14F7AB7pQ8Dz3,2013,330,4,0.25,1,0,1,5.00E+07,montrealCryptoLocker
113nP4t4ayne9A5MkZEa72GEBgkqLXZGkE,2016,256,144,0.291800154804576,1380,0,2,85140000,princetonCerber
113NT2GAbQRzT5qLfo9ovmxVuPwDbchoiV,2016,218,0,0.125,1,0,2,104380000,princetonCerber
113QcTeGajE3YMKU1JD7QMRgkuKFFsHkiG,2016,52,144,0.099877597462641,8120,0,1,50057953,princetonLocky
113U6pALuJkFE3mTmMWzBfYk5AUjDDfvXC,2016,289,14,0.0625,1,0,2,78480000,princetonCerber
113uHEU5oFygrXY6GR43DrJmy4tFQ1Gcdr,2016,266,144,1.60714648954072,5605,3283,2,168320000,princetonCerber
113xQVVssnSTggjXtntNy4RvZ1rs46ehub,2016,348,12,0.05,1,0,2,81700000,princetonCerber
113y9h8ch6wASL3DE4WDysDVxXa4LsNkH3,2016,89,144,0.132853303267431,871,0,1,4.00E+08,princetonLocky
1143t96LASL6q6UMAJKQKd5BLkeV6Q19ys,2016,85,144,0.003633293198367,2515,0,1,3.00E+08,princetonLocky
11445ybEvoBuFCnaYGni4KQDgKRZ3huiJX,2016,68,6,0.25,1,0,1,5.00E+07,princetonLocky
1147GrWQh7yW91kV65QP8BhFiGQQKuW3n5,2013,316,6,1.25,3,0,1,199990000,montrealCryptoLocker
114BqWjEYTXuVzFAEc4qdz72j3muFPMSfH,2016,49,20,0.0625,3,0,1,99990000,princetonLocky
114DARz595UwHRrWjR2mufuUCBifgHTHEw,2016,51,42,0.00048828125,1,0,1,5.00E+07,princetonLocky
114eDjVXXAQKVEnnJLTrCmTDzh7WSsTGz1,2014,81,0,0.5,1,0,2,3.00E+08,paduaCryptoWall
114ey7aLiid4RDdCYEp3GjAtWX3oRz7eqj,2016,336,12,0.25,1,0,2,1.00E+08,princetonCerber
114gGmini5G9hEwEkWtKXoQqT1D6S5AJvU,2016,137,0,1,1,0,2,119990000,montrealCryptXXX
114LhnRzAbZPniMmdBwqQ6QMYjxYFX8Qxb,2017,47,144,0.013469523119385,3645,0,2,60050000,princetonCerber
114ngXYgYz3gLAaumxKUZM42KR4HzsDdjn,2016,88,144,0.347737825120733,2614,0,1,3.00E+08,princetonLocky
114ocYENUbxs7EsJLCiDMeGzYtVzjAZbeZ,2016,106,4,2,2,0,2,1.25E+08,princetonCerber
114omc8xdDgEfraC3Q7bEbujc6BRy9VsVJ,2017,198,144,0.103125315305991,4910,0,2,4.00E+07,princetonCerber
114pDLxwCMHCrWSWinhy6ij7aZFaAssEFs,2016,321,0,0.333333333333333,1,0,2,1.00E+08,princetonCerber
114pv9hdWsQqj8eNNm2a4rJ2eiCSatXJmg,2017,35,24,0.000244140625,1,0,2,8.00E+07,princetonCerber
114SCq4wvHgH4NZ2DdaXyqBAtBSxpVB8Wo,2016,178,24,2.17E-05,1,0,2,31820000,princetonCerber
114sRec7rRdyacs5RVY41WVjLmqiFMVVRm,2016,279,50,0.0001220703125,1,0,2,1.00E+08,princetonCerber
114T9gEoJ7G9LGoAL9wDT1nBGGQm3hiSJy,2016,125,0,0.5,1,0,1,4.10E+08,princetonLocky
114TqaapeRvrQzuwsxQHxLWsg7uYWewx3c,2014,127,0,1,1,0,1,68618992,paduaCryptoWall
114TqaapeRvrQzuwsxQHxLWsg7uYWewx3c,2014,80,0,1,1,0,2,112137426,paduaCryptoWall
114TqRY9x6byYf5HZcBdoDfHUZX68tdgTG,2016,120,144,1.66E-09,510,0,1,5.10E+08,princetonLocky
11537czwp6pSjA8MtTUWmxdxhtVfrPefCx,2016,156,0,0.5,1,0,2,1.00E+08,princetonCerber
1154LSM4xWaAY8shZj7jdmP4coWKD16S5f,2016,84,2,0.5,1,0,2,4.10E+08,princetonLocky
1156mWEnJ8gK9kn2UdpPUcavyqC39mZxPw,2016,126,4,0.005434782608696,1,0,1,3.00E+08,princetonLocky
115fa27QgAruE6q9k8SNAc4fadsNoAUiNv,2016,103,0,0.5,1,0,2,1.25E+08,princetonCerber
115ia9StrwWqT6xJ9Sd92hm6rA4EBPsE3W,2016,75,2,0.017857142857143,4,0,1,5.00E+07,princetonLocky
115j3623Lx42gyC1h9EygmcqH6m6bgDiKy,2016,111,6,0.083333333333333,1,0,1,1.50E+08,princetonLocky
115N2mKEoCBYMT3J64iwXmZ95UPjU8QmZX,2017,2,26,0.00390625,1,0,2,5.60E+07,princetonCerber
